corpus,commit,specification,assay_id,modality,status,generated_efgdl,compiles,compile_error,lane_count,capability_blockers,diagnostic_codes
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/dogmaseq_lll/spec.yaml","DOGMAseq-LLL","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/drop_seq/spec.yaml","Drop-seq","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/inDropv2/spec.yaml","Indropv2","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/issaac_seq/spec.yaml","","ATAC",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/issaac_seq/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/mars_seq/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/mcscrb_seq/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/microwell_seq/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/parse_wt_v2/spec.yaml","WT-Mega-v2","rna",BlockedSourceInvalid,false,false,"",0,"","modality_library_missing;modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/pi_atac_seq/spec.yaml","","ATAC",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/quartz_seq/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/quartz_seq2/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/scCRISPRa/spec.yaml","","crispr",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
