timestamp,benchmark,time_mid_seconds
2025-11-19T14:15:05-05:00,antisequence_10x_trivial/10x_N=1000,0.0006090599999999999
2025-11-19T14:15:05-05:00,antisequence_10x_trivial/10x_N=10000,0.004619900000000001
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3/sci3_N=1000,0.00080285
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3/sci3_N=10000,0.0067921
2025-11-19T14:15:05-05:00,antisequence_10x_trivial_1M/10x_N=1000000,0.44702
2025-11-19T14:15:05-05:00,antisequence_10x_trivial_10M/10x_N=10000000,4.4252
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3_1M/sci3_N=1000000,0.6745099999999999
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3_10M/sci3_N=10000000,6.658
2025-11-22T10:11:24-05:00,antisequence_10x_trivial/10x_N=1000,-39.525
2025-11-22T10:11:24-05:00,antisequence_10x_trivial/10x_N=10000,+22.008
2025-11-22T10:11:24-05:00,antisequence_sci_rna_seq3/sci3_N=1000,-43.032
2025-11-22T10:11:24-05:00,antisequence_sci_rna_seq3/sci3_N=10000,+38.582
2025-11-22T10:11:24-05:00,antisequence_10x_trivial_1M/10x_N=1000000,+86.292
2025-11-22T10:11:24-05:00,antisequence_10x_trivial_10M/10x_N=10000000,+88.611
2025-11-22T10:11:24-05:00,antisequence_sci_rna_seq3_1M/sci3_N=1000000,+80.115
2025-11-22T10:11:24-05:00,antisequence_sci_rna_seq3_10M/sci3_N=10000000,+86.761
2025-11-23T10:55:06-05:00,antisequence_10x_trivial_1M/10x_N=1000000,+65.773
2025-11-23T10:55:06-05:00,antisequence_10x_trivial_10M/10x_N=10000000,+62.685
2025-11-23T10:55:06-05:00,antisequence_sci_rna_seq3_1M/sci3_N=1000000,+52.583
2025-11-23T10:55:06-05:00,antisequence_sci_rna_seq3_10M/sci3_N=10000000,+70.247
