timestamp,benchmark,time_mid_seconds
2025-11-19T14:15:05-05:00,antisequence_10x_trivial/10x_N=1000,0.0010146
2025-11-19T14:15:05-05:00,antisequence_10x_trivial/10x_N=10000,0.01201
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3/sci3_N=1000,0.0013334
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3/sci3_N=10000,0.012558
2025-11-19T14:15:05-05:00,antisequence_10x_trivial_1M/10x_N=1000000,0.6342300000000001
2025-11-19T14:15:05-05:00,antisequence_10x_trivial_10M/10x_N=10000000,6.1646
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3_1M/sci3_N=1000000,0.70045
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3_10M/sci3_N=10000000,6.9081
2025-11-23T13:40:46-05:00,antisequence_10x_trivial_1M/10x_N=1000000,+119.29
2025-11-23T13:40:46-05:00,antisequence_10x_trivial_10M/10x_N=10000000,+108.77
2025-11-23T13:40:46-05:00,antisequence_sci_rna_seq3_1M/sci3_N=1000000,+56.520
2025-11-23T13:40:46-05:00,antisequence_sci_rna_seq3_10M/sci3_N=10000000,+68.093
