timestamp,benchmark,time_mid_seconds
2025-11-19T14:15:05-05:00,antisequence_10x_trivial/10x_N=1000,0.00093381
2025-11-19T14:15:05-05:00,antisequence_10x_trivial/10x_N=10000,0.0050311
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3/sci3_N=1000,0.0012203
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3/sci3_N=10000,0.0071587
2025-11-19T14:15:05-05:00,antisequence_10x_trivial_1M/10x_N=1000000,0.43777
2025-11-19T14:15:05-05:00,antisequence_10x_trivial_10M/10x_N=10000000,4.3824
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3_1M/sci3_N=1000000,0.65654
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3_10M/sci3_N=10000000,6.4469
2025-11-23T12:25:24-05:00,antisequence_10x_trivial_1M/10x_N=1000000,+50.447
2025-11-23T12:25:24-05:00,antisequence_10x_trivial_10M/10x_N=10000000,+49.058
2025-11-23T12:25:24-05:00,antisequence_sci_rna_seq3_1M/sci3_N=1000000,+43.575
2025-11-23T12:25:24-05:00,antisequence_sci_rna_seq3_10M/sci3_N=10000000,+60.123
