timestamp,benchmark,time_mid_seconds
2025-11-19T14:15:05-05:00,antisequence_10x_trivial/10x_N=1000,0.0009477
2025-11-19T14:15:05-05:00,antisequence_10x_trivial/10x_N=10000,0.006438
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3/sci3_N=1000,0.0012192000000000001
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3/sci3_N=10000,0.0087843
2025-11-19T14:15:05-05:00,antisequence_10x_trivial_1M/10x_N=1000000,0.44236000000000003
2025-11-19T14:15:05-05:00,antisequence_10x_trivial_10M/10x_N=10000000,4.3675
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3_1M/sci3_N=1000000,0.65937
2025-11-19T14:15:05-05:00,antisequence_sci_rna_seq3_10M/sci3_N=10000000,6.4821
2025-11-23T13:11:00-05:00,antisequence_10x_trivial_1M/10x_N=1000000,+52.639
2025-11-23T13:11:00-05:00,antisequence_10x_trivial_10M/10x_N=10000000,+50.087
2025-11-23T13:11:00-05:00,antisequence_sci_rna_seq3_1M/sci3_N=1000000,+43.010
2025-11-23T13:11:00-05:00,antisequence_sci_rna_seq3_10M/sci3_N=10000000,+62.317
