timestamp,benchmark,time_mid_seconds,tool,protocol,run_size,threads,runs,command
2025-11-26T18:19:19-05:00,splitcode_split_seq_v1_N=1000000_T=1,5.281314959007432,splitcode,split_seq_v1,1000000,1,1,"/Users/elanfisher/Desktop/fall2025/combine-lab/splitcode/build/src/splitcode -c /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/splitcode_configs/splitcode_split_seq_v1.txt --nFastqs=2 /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench/split_seq_v1_N1000000_R1.fastq /Users/elanfisher/Desktop/fall2025/combine-lab/seqproc/data/bench/split_seq_v1_N1000000_R2.fastq -o /dev/null,/dev/null -t 1"
2025-11-26T20:18:07-05:00,seqproc_split_seq_v1_N=1000000_T=1,1.436209499996039,seqproc,split_seq_v1,1000000,1,3,cargo run --release --bin seqproc -- --geom split_seq_v1.geom --file1 data/bench/split_seq_v1_N1000000_R1.fastq --file2 data/bench/split_seq_v1_N1000000_R2.fastq --threads 1 --out1 /dev/null --out2 /dev/null
2025-11-26T20:24:32-05:00,seqproc_split_seq_v1_N=1000000_T=1,1.1675844999990659,seqproc,split_seq_v1,1000000,1,3,cargo run --release --bin seqproc -- --geom split_seq_v1.geom --file1 data/bench/split_seq_v1_N1000000_R1.fastq --file2 data/bench/split_seq_v1_N1000000_R2.fastq --threads 1 --out1 /dev/null --out2 /dev/null
